Knowledge statement,Subject,Key stage,Year group,Broad topic,Specific topic,Document,page,introduction,examples,glossary,appendix,purpose of study,aims,attainment targets,statutory guidance,non-statutory guidance,digital literacy (AI),financial literacy (AI),media literacy (AI),oracy (AI),climate and sustainability (AI),digital literacy (SL),financial literacy (SL),media literacy (SL),oracy (SL),climate and sustSLnability (SL)
These statements apply to all years. The content should be taught at a level appropriate to the age of the pupils. Pupils should build on the oral language skills that have been taught in preceding years.,English,,Years 1 to 6,Spoken language,,NC master,18,,,,,,,,,Y,,,,Y,,,,,Y,
"Pupils should be taught to develop their competence in spoken language and listening to enhance the effectiveness with which they are able to communicate across a range of contexts and to a range of audiences. They should therefore have opportunities to work in groups of different sizes - in pairs, small groups, large groups and as a whole class. Pupils should understand how to take turns and when and how to participate constructively in conversations and debates.",English,,Years 1 to 6,Spoken language,,NC master,18,,,,,,,,,Y,,,,Y,,,,,Y,
"Attention should also be paid to increasing pupils' vocabulary, ranging from describing",English,,Years 1 to 6,Spoken language,,NC master,18,,,,,,,,,Y,,,,Y,,,,,Y,
"their immediate world and feelings to developing a broader, deeper and richer
vocabulary to discuss abstract concepts and a wider range of topics, and to enhancing
their knowledge about language as a whole.",English,,Years 1 to 6,Spoken language,,NC master,19,,,,,,,,,Y,,,,Y,,,,,Y,
"Pupils should receive constructive feedback on their spoken language and listening, not
only to improve their knowledge and skills but also to establish secure foundations for
effective spoken language in their studies at primary school, helping them to achieve in
secondary education and beyond.",English,,Years 1 to 6,Spoken language,,NC master,19,,,,,,,,,Y,,,,Y,,,,,Y,
"During year 1 teachers should build on work from the Early Years Foundation Stage, making sure that pupils can sound and blend unfamiliar printed words quickly and accurately using the phonic knowledge and skills that they have already learnt. Teachers should also ensure that pupils continue to learn new grapheme-phoneme correspondences (GPCs) and revise and consolidate those learnt earlier. The understanding that the letter(s) on the page represent the sounds in spoken words should underpin pupils' reading and spelling of all words. This includes common words containing unusual GPCs. The term 'common exception words' is used throughout the programmes of study for such words.",English,Key stage 1,Year 1,,,NC master,20,Y,,,,,,,,Y,,,,,,,,,,
"Alongside this knowledge of GPCs, pupils need to develop the skill of blending the sounds into words for reading and establish the habit of applying this skill whenever they encounter new words. This will be supported by practice in reading books consistent with their developing phonic knowledge and skill and their knowledge of common exception words. At the same time they will need to hear, share and discuss a wide range of high-quality books to develop a love of reading and broaden their vocabulary.",English,Key stage 1,Year 1,,,NC master,20,Y,,,,,,,,Y,,,,Y,,,,,Y,
Pupils should be helped to read words without overt sounding and blending after a few encounters. Those who are slow to develop this skill should have extra practice.,English,Key stage 1,Year 1,,,NC master,20,Y,,,,,,,,Y,,,,,,,,,,
"Pupils' writing during year 1 will generally develop at a slower pace than their reading. This is because they need to encode the sounds they hear in words (spelling skills), develop the physical skill needed for handwriting, and learn how to organise their ideas in writing.",English,Key stage 1,Year 1,,,NC master,20,Y,,,,,,,,Y,,,,Y,,,,,Y,
"Pupils entering year 1 who have not yet met the early learning goals for literacy should continue to follow their school's curriculum for the Early Years Foundation Stage to develop their word reading, spelling and language skills. However, these pupils should follow the year 1 programme of study in terms of the books they listen to and discuss, so that they develop their vocabulary and understanding of grammar, as well as their knowledge more generally across the curriculum. If they are still struggling to decode and spell, they need to be taught to do this urgently through a rigorous and systematic phonics programme so that they catch up rapidly.",English,Key stage 1,Year 1,,,NC master,20,Y,,,,,,,,Y,,,,Y,,,,,Y,
"Teachers should ensure that their teaching develops pupils' oral vocabulary as well as their ability to understand and use a variety of grammatical structures, giving particular support to pupils whose oral language skills are insufficiently developed.",English,Key stage 1,Year 1,,,NC master,20,Y,,,,,,,,Y,,,,Y,,,,,Y,
Pupils should be taught to: apply phonic knowledge and skills as the route to decode words,English,Key stage 1,Year 1,Reading,word reading,NC master,21,,,,,,,,Y,,,,,,,,,,,
"Pupils should be taught to: respond speedily with the correct sound to graphemes (letters or groups of letters) for all 40+ phonemes, including, where applicable, alternative sounds for graphemes",English,Key stage 1,Year 1,Reading,word reading,NC master,21,,,,,,,,Y,,,,,,,,,,,
Pupils should be taught to: read accurately by blending sounds in unfamiliar words containing GPCs that have been taught,English,Key stage 1,Year 1,Reading,word reading,NC master,21,,,,,,,,Y,,,,,,,,,,,
"Pupils should be taught to: read common exception words, noting unusual correspondences between spelling and sound and where these occur in the word",English,Key stage 1,Year 1,Reading,word reading,NC master,21,,,,,,,,Y,,,,,,,,,,,
"Pupils should be taught to: read words containing taught GPCs and -s, -es, -ing, -ed, -er and -est endings",English,Key stage 1,Year 1,Reading,word reading,NC master,21,,,,,,,,Y,,,,,,,,,,,
Pupils should be taught to: read other words of more than one syllable that contain taught GPCs,English,Key stage 1,Year 1,Reading,word reading,NC master,21,,,,,,,,Y,,,,,,,,,,,
"Pupils should be taught to: read words with contractions [for example, I'm, I'll, we'll], and understand that the apostrophe represents the omitted letter(s)",English,Key stage 1,Year 1,Reading,word reading,NC master,21,,,,,,,,Y,,,,,,,,,,,
Pupils should be taught to: read aloud accurately books that are consistent with their developing phonic knowledge and that do not require them to use other strategies to work out words,English,Key stage 1,Year 1,Reading,word reading,NC master,21,,,,,,,,Y,,,,,Y,,,,,Y,
Pupils should be taught to: re-read these books to build up their fluency and confidence in word reading.,English,Key stage 1,Year 1,Reading,word reading,NC master,21,,,,,,,,Y,,,,,,,,,,,
"Pupils should revise and consolidate the GPCs and the common exception words taught in Reception. As soon as they can read words comprising the year 1 GPCs accurately and speedily, they should move on to the year 2 programme of study for word reading.",English,Key stage 1,Year 1,Reading,word reading,NC master,21,,,,,,,,,Y,,,,,,,,,,
"The number, order and choice of exception words taught will vary according to the phonics programme being used. Ensuring that pupils are aware of the GPCs they contain, however unusual these are, supports spelling later.",English,Key stage 1,Year 1,Reading,word reading,NC master,21,,,,,,,,,Y,,,,,,,,,,
"Young readers encounter words that they have not seen before much more frequently than experienced readers do, and they may not know the meaning of some of these. Practice at reading such words by sounding and blending can provide opportunities not only for pupils to develop confidence in their decoding skills, but also for teachers to explain the meaning and thus develop pupils' vocabulary.",English,Key stage 1,Year 1,Reading,word reading,NC master,21,,,,,,,,,Y,,,,Y,,,,,Y,
"Pupils should be taught how to read words with suffixes by being helped to build on the root words that they can read already. Pupils' reading and re-reading of books that are closely matched to their developing phonic knowledge and knowledge of common exception words supports their fluency, as well as increasing their confidence in their reading skills. Fluent word reading greatly assists comprehension, especially when pupils come to read longer books.",English,Key stage 1,Year 1,Reading,word reading,NC master,22,,,,,,,,,Y,,,,,,,,,,
"Pupils should be taught to: develop pleasure in reading, motivation to read, vocabulary and understanding by: listening to and discussing a wide range of poems, stories and non-fiction at a level beyond that at which they can read independently",English,Key stage 1,Year 1,Reading,comprehension,NC master,22,,,,,,,,Y,,,,,Y,,,,,Y,
"Pupils should be taught to: develop pleasure in reading, motivation to read, vocabulary and understanding by: being encouraged to link what they read or hear read to their own experiences",English,Key stage 1,Year 1,Reading,comprehension,NC master,22,,,,,,,,Y,,,,,,,,,,,
"Pupils should be taught to: develop pleasure in reading, motivation to read, vocabulary and understanding by: becoming very familiar with key stories, fairy stories and traditional tales, retelling them and considering their particular characteristics",English,Key stage 1,Year 1,Reading,comprehension,NC master,22,,,,,,,,Y,,,,,Y,,,,,Y,
"Pupils should be taught to: develop pleasure in reading, motivation to read, vocabulary and understanding by: recognising and joining in with predictable phrases",English,Key stage 1,Year 1,Reading,comprehension,NC master,22,,,,,,,,Y,,,,,Y,,,,,Y,
"Pupils should be taught to: develop pleasure in reading, motivation to read, vocabulary and understanding by: learning to appreciate rhymes and poems, and to recite some by heart",English,Key stage 1,Year 1,Reading,comprehension,NC master,22,,,,,,,,Y,,,,,Y,,,,,Y,
"Pupils should be taught to: develop pleasure in reading, motivation to read, vocabulary and understanding by: discussing word meanings, linking new meanings to those already known",English,Key stage 1,Year 1,Reading,comprehension,NC master,22,,,,,,,,Y,,,,,Y,,,,,Y,
Pupils should be taught to: understand both the books they can already read accurately and fluently and those they listen to by: drawing on what they already know or on background information and vocabulary provided by the teacher,English,Key stage 1,Year 1,Reading,comprehension,NC master,22,,,,,,,,Y,,,,,,,,,,,
Pupils should be taught to: understand both the books they can already read accurately and fluently and those they listen to by: checking that the text makes sense to them as they read and correcting inaccurate reading,English,Key stage 1,Year 1,Reading,comprehension,NC master,22,,,,,,,,Y,,,,,,,,,,,
